Date,aportes,volumen_util,porcentaje_util
2021-05-03,413.27,11156.3398,0.6592
2021-05-04,389.4351,11340.1079,0.67006
2021-05-05,373.7163,11927.628,0.70477
2021-05-06,311.0739,11598.408,0.68532
2021-05-07,315.431,11701.538,0.69141
2021-05-08,344.8644,11852.6599,0.70034
2021-05-09,324.6824,12021.8606,0.71034
2021-05-10,423.1624,12248.0572,0.72371
2021-05-11,291.08,12337.4207,0.72899
2021-05-12,259.0721,12414.1249,0.73352
2021-05-13,251.9268,12478.14,0.7373
2021-05-14,213.6022,12514.3086,0.73944
2021-05-15,223.7828,12564.2628,0.74239
2021-05-16,277.3894,12686.1956,0.74959
2021-05-17,415.4056,12936.8823,0.76441
2021-05-18,417.0907,13127.0596,0.77564
2021-05-19,260.5308,13173.8632,0.77841
2021-05-20,200.4195,13152.6283,0.77715
2021-05-21,169.1807,13110.5235,0.77467
2021-05-22,210.8994,13120.9142,0.77528
2021-05-23,248.2638,13164.443,0.77785
2021-05-24,241.2221,13186.8456,0.77918
2021-05-25,379.5447,13278.979,0.78462
2021-05-26,310.2872,13317.1201,0.78687
2021-05-27,276.7019,13363.9399,0.78964
2021-05-28,228.7354,13374.387,0.79026
2021-05-29,265.619,13422.1602,0.79308
2021-05-30,294.4946,13493.1508,0.79728
2021-05-31,330.6261,13563.5126,0.80143
2021-06-01,495.4497,13761.999,0.81316
2021-06-02,360.7486,13798.709,0.81533
2021-06-03,301.8462,13795.5212,0.81514
2021-06-04,250.8117,13764.586,0.81331
2021-06-05,210.5023,13703.4077,0.8097
2021-06-06,264.7725,13725.4438,0.811
2021-06-07,261.8419,13708.9182,0.81002
2021-06-08,372.71,13827.6564,0.81946
2021-06-09,413.482,13885.8628,0.82291
2021-06-10,305.5023,13874.6802,0.82224
2021-06-11,305.7339,13897.0929,0.82357
2021-06-12,393.1851,13972.1144,0.82802
2021-06-13,386.5689,14061.1511,0.83329
2021-06-14,399.1327,14133.3456,0.83757
2021-06-15,335.3832,14138.0276,0.83785
2021-06-16,288.3361,14132.6338,0.83753
2021-06-17,273.5519,14108.2612,0.83609
2021-06-18,261.1661,14109.1035,0.83614
2021-06-19,280.8804,14129.9549,0.83737
2021-06-20,491.6628,14321.3779,0.84872
2021-06-21,438.9692,14415.6301,0.8543
2021-06-22,333.0346,14409.0411,0.85391
2021-06-23,254.0051,14380.0749,0.85219
2021-06-24,352.1621,14401.7801,0.85348
2021-06-25,253.3053,14376.3192,0.85197
2021-06-26,242.1588,14349.3919,0.85038
2021-06-27,207.514,14314.1094,0.84828
2021-06-28,224.426,14272.4316,0.84581
2021-06-29,231.6849,14240.5202,0.84392
2021-06-30,214.5178,14217.4363,0.84256
2021-07-01,198.0098,14204.0317,0.84176
2021-07-02,207.3816,14205.9751,0.84164
2021-07-03,156.5863,14129.5893,0.83711
2021-07-04,148.281,14108.9828,0.83589
2021-07-05,142.1019,14081.0585,0.83424
2021-07-06,143.2785,14037.8335,0.83269
2021-07-07,156.5593,13976.4052,0.82905
2021-07-08,237.783,14013.8271,0.83127
2021-07-09,314.9435,14100.4383,0.8364
2021-07-10,253.0452,14126.9736,0.83798
2021-07-11,339.5725,14220.0769,0.8435
2021-07-12,230.1497,14212.7037,0.84306
2021-07-13,240.9817,14223.8397,0.84372
2021-07-14,218.4339,14221.7173,0.8436
2021-07-15,191.5118,14206.6101,0.8427
2021-07-16,239.6794,14245.217,0.84499
2021-07-17,304.7914,14319.5046,0.8494
2021-07-18,301.4085,14374.042,0.85263
2021-07-19,214.4772,14347.4913,0.85106
2021-07-20,185.7067,14327.2535,0.84986
2021-07-21,285.3276,14365.1931,0.85211
2021-07-22,351.6967,14412.0361,0.85495
2021-07-23,346.2035,14489.104,0.85953
2021-07-24,240.8146,14460.7957,0.85785
2021-07-25,255.7251,14521.5055,0.86145
2021-07-26,239.8601,14515.4135,0.86109
2021-07-27,264.5975,14532.2997,0.86209
2021-07-28,203.7918,14511.1399,0.86083
2021-07-29,194.441,14486.9613,0.8594
2021-07-30,276.3292,14531.8826,0.86206
2021-07-31,191.1506,14493.0504,0.85976
2021-08-01,150.9214,14469.9841,0.85839
2021-08-02,185.8391,14431.6189,0.85612
2021-08-03,216.1168,14406.3943,0.85462
2021-08-04,165.1652,14360.3125,0.85241
2021-08-05,147.6559,14306.7134,0.84923
2021-08-06,142.8402,14243.1415,0.84546
2021-08-07,131.2844,14198.9253,0.84283
2021-08-08,135.4692,14177.2912,0.84155
2021-08-09,158.6159,14138.586,0.83925
2021-08-10,265.7606,14194.8791,0.84259
2021-08-11,220.5237,14204.1887,0.84314
2021-08-12,242.5863,14276.0767,0.84741
2021-08-13,274.4812,14342.0538,0.85153
2021-08-14,265.0255,14415.3981,0.85588
2021-08-15,275.976,14488.23,0.86021
2021-08-16,242.9199,14509.121,0.86145
2021-08-17,372.5766,14595.3341,0.86657
2021-08-18,279.224,14618.5681,0.86795
2021-08-19,260.6701,14629.4257,0.86859
2021-08-20,270.1865,14644.6451,0.86949
2021-08-21,224.5614,14629.9736,0.86862
2021-08-22,227.3071,14615.8254,0.86778
2021-08-23,258.7954,14653.4085,0.87001
2021-08-24,223.9942,14660.9139,0.87046
2021-08-25,231.2774,14675.8912,0.87135
2021-08-26,216.8626,14658.1938,0.8703
2021-08-27,166.944,14615.1043,0.86774
2021-08-28,255.839,14610.6551,0.86748
2021-08-29,176.1582,14585.1963,0.86596
2021-08-30,244.9171,14613.2838,0.86763
2021-08-31,231.4556,14616.606,0.86783
2021-09-01,219.8048,14608.4272,0.86734
2021-09-02,185.7906,14560.2171,0.86448
2021-09-03,146.6334,14502.026,0.86103
2021-09-04,161.8163,14477.217,0.85955
2021-09-05,225.2419,14520.5152,0.86212
2021-09-06,203.3977,14525.3721,0.86241
2021-09-07,206.9583,14551.8086,0.86398
2021-09-08,210.8074,14555.0287,0.86417
2021-09-09,165.1013,14509.2927,0.86146
2021-09-10,177.2787,14469.7666,0.85911
2021-09-11,258.2419,14496.2206,0.86068
2021-09-12,270.8987,14484.4419,0.85998
2021-09-13,172.0097,14450.6138,0.85797
2021-09-14,172.9696,14390.0683,0.85438
2021-09-15,195.2375,14388.1219,0.85426
2021-09-16,152.3511,14341.2511,0.85148
2021-09-17,140.1283,14268.6856,0.84717
2021-09-18,125.7329,14209.4584,0.84366
2021-09-19,149.6885,14201.5692,0.84319
2021-09-20,132.8854,14155.3852,0.84044
2021-09-21,214.5982,14186.0592,0.84227
2021-09-22,250.147,14230.4176,0.8449
2021-09-23,414.8747,14391.2218,0.85445
2021-09-24,238.0292,14391.9518,0.85449
2021-09-25,195.3129,14356.5116,0.85239
2021-09-26,152.5011,14320.9731,0.85028
2021-09-27,146.1327,14261.3725,0.84674
2021-09-28,145.6615,14218.4847,0.84419
2021-09-29,173.8599,14209.9704,0.84369
2021-09-30,216.9221,14244.0656,0.84571
2021-10-01,198.363,14228.383,0.84478
2021-10-02,217.8681,14240.7446,0.84551
2021-10-03,181.2683,14241.4321,0.84555
2021-10-04,159.1843,14192.0205,0.84262
2021-10-05,177.4319,14162.1904,0.84085
2021-10-06,219.6312,14200.0811,0.8431
2021-10-07,239.8196,14221.4003,0.84436
2021-10-08,178.9254,14194.7639,0.84278
2021-10-09,166.1529,14160.6403,0.84076
2021-10-10,180.5548,14161.8862,0.84083
2021-10-11,203.8959,14174.1057,0.84156
2021-10-12,164.7031,14128.1473,0.83883
2021-10-13,181.8143,14102.73,0.83732
2021-10-14,192.5855,14089.9855,0.83656
2021-10-15,175.8319,14071.3941,0.83546
2021-10-16,228.148,14130.1556,0.83895
2021-10-17,236.1738,14183.0525,0.84209
2021-10-18,181.3282,14158.1996,0.84061
2021-10-19,190.4272,14139.4895,0.8395
2021-10-20,191.9393,14124.1028,0.83859
2021-10-21,191.489,14112.3092,0.83789
2021-10-22,188.6379,14118.2704,0.83824
2021-10-23,166.833,14096.5835,0.83695
2021-10-24,162.2365,14081.8893,0.83608
2021-10-25,158.6275,14044.9339,0.83389
2021-10-26,239.6861,14107.9606,0.83763
2021-10-27,301.3622,14183.9961,0.84214
2021-10-28,245.7491,14210.7533,0.84373
2021-10-29,238.3209,14245.6026,0.8458
2021-10-30,256.5182,14255.2964,0.84638
2021-10-31,291.7853,14288.3597,0.84834
2021-11-01,248.7199,14299.2919,0.84899
2021-11-02,233.893,14283.1943,0.84803
2021-11-03,259.4273,14320.9346,0.85007
2021-11-04,359.1634,14394.3749,0.85443
2021-11-05,231.672,14352.7352,0.85196
2021-11-06,205.0275,14297.4061,0.84868
2021-11-07,222.2559,14282.9134,0.84781
2021-11-08,196.6949,14260.0652,0.84667
2021-11-09,220.3432,14269.6636,0.84724
2021-11-10,212.1651,14281.9381,0.84797
2021-11-11,201.3738,14267.3579,0.8471
2021-11-12,171.9443,14237.9239,0.84536
2021-11-13,215.4518,14245.4993,0.8458
2021-11-14,182.5816,14253.4439,0.84628
2021-11-15,168.041,14240.6546,0.84552
2021-11-16,149.167,14186.1425,0.84228
2021-11-17,132.8968,14129.6692,0.83893
2021-11-18,128.1675,14066.7352,0.83519
2021-11-19,147.0217,14019.8888,0.83241
2021-11-20,151.2895,14019.8482,0.83241
2021-11-21,165.4281,14009.1667,0.83177
2021-11-22,165.4699,13984.9196,0.83033
2021-11-23,197.2407,14013.6114,0.83204
2021-11-24,250.376,14074.3799,0.83564
2021-11-25,289.0054,14154.5285,0.8404
